level_0,level_1,date,symbol,close,dominant_id,exchange,high,low,open,trading_code,trading_date,underlying_symbol,volume
LC2601,183,2025-10-21 09:42:00,LC2601,75920.0,LC2601,GFEX,75940.0,75840.0,75860.0,lc2601,20251021,LC,453.0
LC2601,184,2025-10-21 09:41:00,LC2601,75860.0,LC2601,GFEX,75900.0,75840.0,75900.0,lc2601,20251021,LC,371.0
LC2601,185,2025-10-21 09:40:00,LC2601,75880.0,LC2601,GFEX,75960.0,75820.0,75860.0,lc2601,20251021,LC,955.0
LC2601,186,2025-10-21 09:39:00,LC2601,75860.0,LC2601,GFEX,75920.0,75840.0,75840.0,lc2601,20251021,LC,502.0
LC2601,187,2025-10-21 09:38:00,LC2601,75860.0,LC2601,GFEX,75880.0,75840.0,75860.0,lc2601,20251021,LC,406.0
LC2601,188,2025-10-21 09:37:00,LC2601,75860.0,LC2601,GFEX,75900.0,75780.0,75800.0,lc2601,20251021,LC,593.0
LC2601,189,2025-10-21 09:36:00,LC2601,75800.0,LC2601,GFEX,75900.0,75800.0,75880.0,lc2601,20251021,LC,845.0
LC2601,190,2025-10-21 09:35:00,LC2601,75860.0,LC2601,GFEX,75860.0,75840.0,75860.0,lc2601,20251021,LC,309.0
LC2601,191,2025-10-21 09:34:00,LC2601,75840.0,LC2601,GFEX,75880.0,75840.0,75880.0,lc2601,20251021,LC,309.0
LC2601,192,2025-10-21 09:33:00,LC2601,75860.0,LC2601,GFEX,75920.0,75800.0,75820.0,lc2601,20251021,LC,896.0
