ts_code,trade_date,mapping_ts_code
LC.GFE,20231115,LC2401.GFE
LC.GFE,20231114,LC2401.GFE
LC.GFE,20231113,LC2401.GFE
LC.GFE,20231110,LC2401.GFE
LC.GFE,20231109,LC2401.GFE
LC.GFE,20231108,LC2401.GFE
LC.GFE,20231107,LC2401.GFE
LC.GFE,20231106,LC2401.GFE
LC.GFE,20231103,LC2401.GFE
LC.GFE,20231102,LC2401.GFE
LC.GFE,20231101,LC2401.GFE
LC.GFE,20231031,LC2401.GFE
LC.GFE,20231030,LC2401.GFE
LC.GFE,20231027,LC2401.GFE
LC.GFE,20231026,LC2401.GFE
LC.GFE,20231025,LC2401.GFE
LC.GFE,20231024,LC2401.GFE
LC.GFE,20231023,LC2401.GFE
LC.GFE,20231020,LC2401.GFE
LC.GFE,20231019,LC2401.GFE
LC.GFE,20231018,LC2401.GFE
LC.GFE,20231017,LC2401.GFE
LC.GFE,20231016,LC2401.GFE
LC.GFE,20231013,LC2401.GFE
LC.GFE,20231012,LC2401.GFE
LC.GFE,20231011,LC2401.GFE
LC.GFE,20231010,LC2401.GFE
LC.GFE,20231009,LC2401.GFE
LC.GFE,20230928,LC2401.GFE
LC.GFE,20230927,LC2401.GFE
LC.GFE,20230926,LC2401.GFE
LC.GFE,20230925,LC2401.GFE
LC.GFE,20230922,LC2401.GFE
LC.GFE,20230921,LC2401.GFE
LC.GFE,20230920,LC2401.GFE
LC.GFE,20230919,LC2401.GFE
LC.GFE,20230918,LC2401.GFE
LC.GFE,20230915,LC2401.GFE
LC.GFE,20230914,LC2401.GFE
LC.GFE,20230913,LC2401.GFE
LC.GFE,20230912,LC2401.GFE
LC.GFE,20230911,LC2401.GFE
LC.GFE,20230908,LC2401.GFE
LC.GFE,20230907,LC2401.GFE
LC.GFE,20230906,LC2401.GFE
LC.GFE,20230905,LC2401.GFE
LC.GFE,20230904,LC2401.GFE
LC.GFE,20230901,LC2401.GFE
LC.GFE,20230831,LC2401.GFE
LC.GFE,20230830,LC2401.GFE
LC.GFE,20230829,LC2401.GFE
LC.GFE,20230828,LC2401.GFE
LC.GFE,20230825,LC2401.GFE
LC.GFE,20230824,LC2401.GFE
LC.GFE,20230823,LC2401.GFE
LC.GFE,20230822,LC2401.GFE
LC.GFE,20230821,LC2401.GFE
LC.GFE,20230818,LC2401.GFE
LC.GFE,20230817,LC2401.GFE
LC.GFE,20230816,LC2401.GFE
LC.GFE,20230815,LC2401.GFE
LC.GFE,20230814,LC2401.GFE
LC.GFE,20230811,LC2401.GFE
LC.GFE,20230810,LC2401.GFE
LC.GFE,20230809,LC2401.GFE
LC.GFE,20230808,LC2401.GFE
LC.GFE,20230807,LC2401.GFE
LC.GFE,20230804,LC2401.GFE
LC.GFE,20230803,LC2401.GFE
LC.GFE,20230802,LC2401.GFE
LC.GFE,20230801,LC2401.GFE
LC.GFE,20230731,LC2401.GFE
LC.GFE,20230728,LC2401.GFE
LC.GFE,20230727,LC2401.GFE
LC.GFE,20230726,LC2401.GFE
LC.GFE,20230725,LC2401.GFE
LC.GFE,20230724,LC2401.GFE
LC.GFE,20230721,LC2401.GFE
